I_cell_A,z_mm,a_H2O
0.0162,206.839296345889,0.122725469888653
1,102.636851105494,0.200013462265893
2,93.5251019247631,0.251056939734985
3,96.0447377895758,0.303439306938569
4,102.71561676088,0.359163198484848
5,105.854451690108,0.405269680608907
6,103.899373580904,0.435244796620458
7,91.5352230357689,0.430484553266534
8,65.8179334461965,0.37383465291324
