I_cell_A,PeakHumidity,PeakZ_mm
0.0162,0.125669563479763,12.31
1,0.204509916608392,49.24
2,0.254314141285815,61.55
3,0.306174972463824,73.86
4,0.364288618814225,73.86
5,0.414840734805398,73.86
6,0.44727996028187,73.86
7,0.43786455468251,61.55
8,0.374481616604498,73.86
