I_cell_A,PeakHumidity,PeakZ_mm
0.0162,0.127066887173462,86.17
1,0.214616227500338,246.2
2,0.275319277883328,246.2
3,0.335044214344837,246.2
4,0.390201170383866,246.2
5,0.433872750957704,246.2
6,0.468655310032742,246.2
7,0.50032229167511,246.2
8,0.556714017974653,246.2
